POX 0.5.0 (eel) / Copyright 2011-2014 James McCauley, et al.

***** Entropy Value =  1 *****


***** Entropy Value =  1 *****


***** Entropy Value =  1 *****


***** Entropy Value =  1 *****


***** Entropy Value =  1 *****


***** Entropy Value =  1 *****


***** Entropy Value =  1 *****


***** Entropy Value =  1 *****


***** Entropy Value =  1 *****


***** Entropy Value =  1 *****


***** Entropy Value =  1 *****


***** Entropy Value =  1 *****


***** Entropy Value =  1 *****


***** Entropy Value =  1 *****


***** Entropy Value =  1 *****


***** Entropy Value =  1 *****


***** Entropy Value =  1 *****


***** Entropy Value =  1 *****


***** Entropy Value =  1 *****


***** Entropy Value =  1 *****


***** Entropy Value =  1 *****


***** Entropy Value =  1 *****


***** Entropy Value =  1 *****


***** Entropy Value =  1 *****


***** Entropy Value =  1 *****


***** Entropy Value =  1 *****


***** Entropy Value =  1 *****


***** Entropy Value =  1 *****


***** Entropy Value =  1 *****


***** Entropy Value =  1 *****


***** Entropy Value =  1 *****


***** Entropy Value =  1 *****


***** Entropy Value =  1 *****


***** Entropy Value =  1 *****


***** Entropy Value =  1 *****


***** Entropy Value =  1 *****


***** Entropy Value =  1 *****


***** Entropy Value =  1 *****


***** Entropy Value =  1 *****


***** Entropy Value =  1 *****


***** Entropy Value =  1 *****


***** Entropy Value =  1 *****


***** Entropy Value =  1 *****


***** Entropy Value =  1 *****


***** Entropy Value =  1 *****


***** Entropy Value =  1 *****


***** Entropy Value =  1 *****


***** Entropy Value =  1 *****


***** Entropy Value =  1 *****


***** Entropy Value =  1.13256280137 *****


***** Entropy Value =  1.13256280137 *****


***** Entropy Value =  1.13256280137 *****


***** Entropy Value =  1.13256280137 *****


***** Entropy Value =  1.13256280137 *****


***** Entropy Value =  1.13256280137 *****


***** Entropy Value =  1.13256280137 *****


***** Entropy Value =  1.13256280137 *****


***** Entropy Value =  1.13256280137 *****


***** Entropy Value =  1.13256280137 *****


***** Entropy Value =  1.13256280137 *****


***** Entropy Value =  1.13256280137 *****


***** Entropy Value =  1.13256280137 *****


***** Entropy Value =  1.13256280137 *****


***** Entropy Value =  1.13256280137 *****


***** Entropy Value =  1.13256280137 *****


***** Entropy Value =  1.13256280137 *****


***** Entropy Value =  1.13256280137 *****


***** Entropy Value =  1.13256280137 *****


***** Entropy Value =  1.13256280137 *****


***** Entropy Value =  1.13256280137 *****


***** Entropy Value =  1.13256280137 *****


***** Entropy Value =  1.13256280137 *****


***** Entropy Value =  1.13256280137 *****


***** Entropy Value =  1.13256280137 *****


***** Entropy Value =  1.13256280137 *****


***** Entropy Value =  1.13256280137 *****


***** Entropy Value =  1.13256280137 *****


***** Entropy Value =  1.13256280137 *****


***** Entropy Value =  1.13256280137 *****


***** Entropy Value =  1.13256280137 *****


***** Entropy Value =  1.13256280137 *****


***** Entropy Value =  1.13256280137 *****


***** Entropy Value =  1.13256280137 *****


***** Entropy Value =  1.13256280137 *****


***** Entropy Value =  1.13256280137 *****


***** Entropy Value =  1.13256280137 *****


***** Entropy Value =  1.13256280137 *****


***** Entropy Value =  1.13256280137 *****


***** Entropy Value =  1.13256280137 *****


***** Entropy Value =  1.13256280137 *****


***** Entropy Value =  1.13256280137 *****


***** Entropy Value =  1.13256280137 *****


***** Entropy Value =  1.13256280137 *****


***** Entropy Value =  1.13256280137 *****


***** Entropy Value =  1.13256280137 *****


***** Entropy Value =  1.13256280137 *****


***** Entropy Value =  1.13256280137 *****


***** Entropy Value =  1.13256280137 *****


***** Entropy Value =  1.13256280137 *****


***** Entropy Value =  1.17323127648 *****


***** Entropy Value =  1.17323127648 *****


***** Entropy Value =  1.17323127648 *****


***** Entropy Value =  1.17323127648 *****


***** Entropy Value =  1.17323127648 *****


***** Entropy Value =  1.17323127648 *****


***** Entropy Value =  1.17323127648 *****


***** Entropy Value =  1.17323127648 *****


***** Entropy Value =  1.17323127648 *****


***** Entropy Value =  1.17323127648 *****


***** Entropy Value =  1.17323127648 *****


***** Entropy Value =  1.17323127648 *****


***** Entropy Value =  1.17323127648 *****


***** Entropy Value =  1.17323127648 *****


***** Entropy Value =  1.17323127648 *****


***** Entropy Value =  1.17323127648 *****


***** Entropy Value =  1.17323127648 *****


***** Entropy Value =  1.17323127648 *****


***** Entropy Value =  1.17323127648 *****


***** Entropy Value =  1.17323127648 *****


***** Entropy Value =  1.17323127648 *****


***** Entropy Value =  1.17323127648 *****


***** Entropy Value =  1.17323127648 *****


***** Entropy Value =  1.17323127648 *****


***** Entropy Value =  1.17323127648 *****


***** Entropy Value =  1.17323127648 *****


***** Entropy Value =  1.17323127648 *****


***** Entropy Value =  1.17323127648 *****


***** Entropy Value =  1.17323127648 *****


***** Entropy Value =  1.17323127648 *****


***** Entropy Value =  1.17323127648 *****


***** Entropy Value =  1.17323127648 *****


***** Entropy Value =  1.17323127648 *****


***** Entropy Value =  1.17323127648 *****


***** Entropy Value =  1.17323127648 *****


***** Entropy Value =  1.17323127648 *****


***** Entropy Value =  1.17323127648 *****


